t,drone,x,y,z,r_sep,r_nei,k_sep,k_ali,k_coh,k_goal,vmax,amax,altitude,jitter
0.000,0,0.0017,1.7000,0.0004,0.800,2.688,1.130,1.073,0.752,1.157,6.169,12.354,1.744,0.275
0.200,0,0.1670,1.7140,0.0389,0.905,4.191,2.173,1.655,1.167,1.612,7.521,15.180,2.097,0.477
0.400,0,0.6400,1.7854,0.1679,0.952,4.866,2.641,1.916,1.354,1.817,8.128,16.450,2.256,0.568
0.600,0,1.4541,1.9467,0.4266,0.973,5.169,2.851,2.034,1.438,1.909,8.401,17.020,2.327,0.609
0.800,0,2.5898,2.2117,0.8430,0.982,5.306,2.946,2.087,1.476,1.950,8.524,17.277,2.359,0.627
1.000,0,3.8743,2.5417,1.4029,0.987,5.367,2.988,2.110,1.493,1.968,8.579,17.392,2.373,0.635
1.200,0,5.0000,2.8663,1.9702,0.988,5.394,3.007,2.121,1.500,1.977,8.604,17.444,2.380,0.639
1.400,0,5.0000,3.1083,2.4403,0.989,5.407,3.016,2.126,1.504,1.981,8.615,17.467,2.383,0.641
1.600,0,5.0000,3.2064,2.7737,0.990,5.412,3.020,2.128,1.505,1.982,8.620,17.477,2.384,0.641
1.800,0,5.0000,3.1318,2.9551,1.056,4.896,3.391,2.058,1.421,1.844,8.383,16.612,2.253,0.546
2.000,0,4.9987,2.8861,2.9899,1.089,4.633,3.580,2.022,1.378,1.774,8.262,16.171,2.186,0.497
2.200,0,4.8104,2.5127,2.8956,1.104,4.515,3.665,2.006,1.359,1.742,8.208,15.973,2.156,0.475
2.400,0,4.2868,2.0763,2.6976,1.111,4.462,3.703,1.999,1.350,1.728,8.184,15.884,2.142,0.465
2.600,0,3.4453,1.6600,2.4298,1.114,4.438,3.721,1.996,1.346,1.722,8.173,15.844,2.136,0.460
2.800,0,2.3580,1.3461,2.1342,1.116,4.427,3.728,1.995,1.345,1.719,8.168,15.826,2.134,0.459
3.000,0,1.1167,1.1980,1.8711,1.116,4.422,3.732,1.994,1.344,1.718,8.166,15.818,2.132,0.458
3.200,0,-0.1616,1.2398,1.7331,1.117,4.420,3.733,1.994,1.343,1.717,8.165,15.815,2.132,0.457
3.400,0,-1.3114,1.4580,1.7804,1.117,4.419,3.734,1.993,1.343,1.717,8.164,15.813,2.132,0.457
3.600,0,-2.1956,1.7972,2.0021,1.118,4.419,3.735,1.993,1.343,1.716,8.164,15.812,2.131,0.457
3.800,0,-2.7584,2.1776,2.3522,1.148,4.418,3.780,1.993,1.327,1.690,8.164,15.812,2.131,0.457
4.000,0,-2.9896,2.5341,2.7765,1.242,4.418,3.916,1.993,1.278,1.609,8.164,15.812,2.131,0.457
4.200,0,-2.9039,2.8189,3.2289,1.393,4.418,4.135,1.993,1.199,1.480,8.164,15.812,2.131,0.457
4.400,0,-2.5365,3.0044,3.6658,1.574,4.418,4.399,1.993,1.104,1.324,8.164,15.812,2.131,0.457
4.600,0,-1.9331,3.0814,4.0467,1.753,4.418,4.658,1.993,1.011,1.171,8.164,15.812,2.131,0.457
4.800,0,-1.1426,3.0495,4.3395,1.889,4.418,4.857,1.993,0.940,1.054,8.164,15.812,2.131,0.457
5.000,0,-0.1921,2.9065,4.4941,1.451,4.387,4.202,2.019,1.188,1.443,8.304,15.809,2.153,0.451
5.200,0,0.8798,2.6439,4.4113,1.255,4.372,3.908,2.030,1.300,1.619,8.367,15.808,2.163,0.448
5.400,0,1.9678,2.2930,4.0178,1.166,4.366,3.776,2.036,1.350,1.697,8.395,15.808,2.167,0.447
5.600,0,2.9289,1.9242,3.3092,1.126,4.363,3.717,2.038,1.372,1.733,8.408,15.808,2.169,0.447
5.800,0,3.6437,1.6125,2.3600,1.109,4.362,3.690,2.039,1.383,1.749,8.414,15.808,2.170,0.447
6.000,0,4.0459,1.4091,1.2859,1.101,4.361,3.678,2.039,1.387,1.756,8.416,15.808,2.171,0.446
6.200,0,4.1174,1.3331,0.2048,1.097,4.361,3.673,2.040,1.389,1.759,8.417,15.808,2.171,0.446
6.400,0,3.8647,1.3829,-0.7863,1.095,4.361,3.670,2.040,1.390,1.760,8.418,15.808,2.171,0.446
6.600,0,3.3186,1.5408,-1.6052,1.095,4.361,3.669,2.040,1.390,1.761,8.418,15.808,2.171,0.446
6.800,0,2.5189,1.7833,-2.1834,1.099,4.361,3.675,2.040,1.388,1.757,8.418,15.808,2.171,0.446
7.000,0,1.5205,2.0792,-2.4713,1.149,4.361,3.747,2.040,1.361,1.713,8.418,15.808,2.171,0.446
7.200,0,0.3834,2.3928,-2.4385,1.266,4.361,3.914,2.040,1.298,1.610,8.418,15.808,2.171,0.446
7.400,0,-0.8266,2.6910,-2.0883,1.434,4.361,4.154,2.040,1.207,1.462,8.418,15.808,2.171,0.446
7.600,0,-2.0433,2.9473,-1.4480,1.623,4.361,4.422,2.040,1.105,1.296,8.418,15.808,2.171,0.446
7.800,0,-3.2135,3.1430,-0.5564,1.792,4.361,4.664,2.040,1.013,1.147,8.418,15.808,2.171,0.446
8.000,0,-4.2902,3.2686,0.5415,1.647,4.370,4.457,2.039,1.091,1.274,8.408,15.822,2.170,0.448
8.200,0,-5.0000,3.3035,1.8257,1.344,4.383,4.022,2.037,1.253,1.541,8.394,15.842,2.170,0.451
8.400,0,-5.0000,3.2215,3.2655,1.207,4.389,3.827,2.036,1.326,1.661,8.388,15.850,2.169,0.452
8.600,0,-5.0000,3.0103,4.7855,1.146,4.392,3.740,2.036,1.359,1.715,8.386,15.854,2.169,0.452
8.800,0,-4.9754,2.6832,5.0000,1.119,4.393,3.700,2.036,1.374,1.740,8.384,15.856,2.169,0.453
9.000,0,-4.6743,2.2699,5.0000,1.106,4.393,3.683,2.036,1.381,1.750,8.384,15.857,2.169,0.453
9.200,0,-4.0301,1.8228,5.0000,1.101,4.393,3.675,2.036,1.384,1.755,8.383,15.857,2.169,0.453
9.400,0,-3.0794,1.4262,5.0000,1.098,4.394,3.671,2.036,1.385,1.758,8.383,15.858,2.169,0.453
9.600,0,-1.9534,1.1721,5.0000,1.097,4.394,3.669,2.036,1.385,1.758,8.383,15.858,2.169,0.453
9.800,0,-0.8340,1.1100,5.0000,1.097,4.394,3.669,2.036,1.386,1.759,8.383,15.858,2.169,0.453
10.000,0,0.1365,1.2161,5.0000,1.115,4.394,3.696,2.036,1.376,1.742,8.383,15.858,2.169,0.453
10.200,0,0.8895,1.4408,5.0000,1.195,4.394,3.810,2.036,1.333,1.672,8.383,15.858,2.169,0.453
10.400,0,1.4065,1.7406,4.9228,1.338,4.394,4.013,2.036,1.256,1.546,8.383,15.858,2.169,0.453
10.600,0,1.6881,2.0795,4.6432,1.520,4.394,4.272,2.036,1.158,1.387,8.383,15.858,2.169,0.453
10.800,0,1.7540,2.4280,4.1797,1.704,4.394,4.536,2.036,1.058,1.224,8.383,15.858,2.169,0.453
11.000,0,1.6258,2.7653,3.5534,1.852,4.394,4.746,2.036,0.979,1.094,8.383,15.858,2.169,0.453
11.200,0,1.3046,3.0717,2.7758,1.470,4.373,4.218,2.019,1.175,1.410,8.270,15.747,2.153,0.447
11.400,0,0.7426,3.3123,1.8435,1.272,4.363,3.943,2.010,1.278,1.575,8.212,15.690,2.145,0.444
11.600,0,-0.0916,3.4478,0.7746,1.182,4.358,3.819,2.007,1.324,1.649,8.187,15.665,2.141,0.443
11.800,0,-1.2111,3.4373,-0.3897,1.142,4.356,3.763,2.005,1.345,1.682,8.175,15.654,2.139,0.442
12.000,0,-2.6132,3.2376,-1.5687,1.124,4.355,3.738,2.004,1.354,1.697,8.170,15.648,2.138,0.442
12.200,0,-4.2267,2.8347,-2.6108,1.116,4.355,3.727,2.004,1.359,1.704,8.167,15.646,2.138,0.442
12.400,0,-5.0000,2.3056,-3.3625,1.112,4.355,3.722,2.004,1.360,1.707,8.166,15.645,2.138,0.442
12.600,0,-5.0000,1.7582,-3.7783,1.111,4.354,3.720,2.004,1.361,1.708,8.166,15.645,2.138,0.442
12.800,0,-5.0000,1.2832,-3.8659,1.110,4.354,3.719,2.004,1.362,1.709,8.166,15.644,2.138,0.442
13.000,0,-5.0000,0.9484,-3.6516,1.112,4.354,3.722,2.003,1.360,1.707,8.166,15.644,2.138,0.442
13.200,0,-5.0000,0.7997,-3.1743,1.155,4.354,3.784,2.003,1.338,1.670,8.166,15.644,2.138,0.442
13.400,0,-5.0000,0.8580,-2.4839,1.265,4.354,3.943,2.003,1.280,1.576,8.166,15.644,2.138,0.442
13.600,0,-5.0000,1.1134,-1.6538,1.429,4.354,4.179,2.003,1.193,1.436,8.166,15.644,2.138,0.442
13.800,0,-5.0000,1.5165,-0.7719,1.616,4.354,4.451,2.003,1.093,1.276,8.166,15.644,2.138,0.442
14.000,0,-5.0000,1.9916,0.0802,1.790,4.354,4.702,2.003,1.001,1.128,8.166,15.644,2.138,0.442
14.200,0,-5.0000,2.4579,0.8328,1.665,4.642,4.386,2.058,1.100,1.298,8.380,16.272,2.216,0.499
14.400,0,-4.9788,2.4595,0.8306,1.282,5.159,3.591,2.155,1.362,1.739,8.766,17.403,2.356,0.601
14.600,0,-4.9044,2.4552,0.8058,1.110,5.391,3.234,2.199,1.480,1.937,8.940,17.911,2.419,0.647
14.800,0,-4.5851,2.4436,0.7041,1.032,5.496,3.073,2.219,1.533,2.026,9.018,18.140,2.447,0.668
15.000,0,-3.8727,2.4297,0.4837,0.997,5.543,3.001,2.227,1.556,2.066,9.053,18.242,2.460,0.677
15.200,0,-2.7924,2.4300,0.1306,0.982,5.564,2.969,2.231,1.567,2.084,9.068,18.288,2.466,0.681
15.400,0,-1.4938,2.4576,-0.3297,0.975,5.573,2.954,2.233,1.572,2.093,9.075,18.309,2.468,0.683
15.600,0,-0.2093,2.5165,-0.9184,0.972,5.578,2.948,2.234,1.574,2.096,9.079,18.318,2.470,0.684
15.800,0,0.7733,2.5976,-1.5939,0.970,5.580,2.945,2.234,1.575,2.098,9.080,18.322,2.470,0.684
16.000,0,1.3280,2.6837,-2.2792,0.970,5.581,2.943,2.234,1.575,2.099,9.081,18.324,2.470,0.685
16.200,0,1.4535,2.7604,-2.9230,0.984,5.581,2.959,2.235,1.567,2.084,9.081,18.325,2.470,0.685
16.400,0,1.1667,2.8140,-3.4794,1.056,5.581,3.041,2.235,1.523,2.008,9.081,18.326,2.470,0.685
16.600,0,0.4918,2.8358,-3.9096,1.192,5.581,3.197,2.235,1.439,1.865,9.081,18.326,2.470,0.685
16.800,0,-0.5249,2.8182,-4.1749,1.371,5.581,3.402,2.235,1.330,1.678,9.081,18.326,2.471,0.685
17.000,0,-1.8094,2.7541,-4.2366,1.557,5.581,3.615,2.235,1.215,1.482,9.081,18.326,2.471,0.685
